,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
count,891.0,891.0,891.0,891,891,714.0,891.0,891.0,891,891.0,204,889
unique,,,,891,2,,,,681,,147,3
top,,,,"Dooley, Mr. Patrick",male,,,,347082,,G6,S
freq,,,,1,577,,,,7,,4,644
mean,446.0,0.3838383838383838,2.308641975308642,,,29.69911764705882,0.5230078563411896,0.38159371492704824,,32.204207968574636,,
std,257.3538420152301,0.4865924542648575,0.836071240977049,,,14.526497332334042,1.1027434322934317,0.8060572211299483,,49.6934285971809,,
min,1.0,0.0,1.0,,,0.42,0.0,0.0,,0.0,,
25%,223.5,0.0,2.0,,,20.125,0.0,0.0,,7.9104,,
50%,446.0,0.0,3.0,,,28.0,0.0,0.0,,14.4542,,
75%,668.5,1.0,3.0,,,38.0,1.0,0.0,,31.0,,
max,891.0,1.0,3.0,,,80.0,8.0,6.0,,512.3292,,
